name;id;nationality;birthday;miles;seat-type;column;row;preference-type
Melissa Smith;16905540;Uruguay;13/03/1959;26324;1;A;1;0
Mark Bush;85535256;Noruega;4/08/1955;10152;1;A;2;0
Mary Calhoun;70412033;Mozambique;23/01/1970;3607;1;A;3;0
Tina Benitez;27306404;Sud�frica;2/08/1976;0;0;A;4;0
Kristen Hawkins;90745951;Nueva Caledonia;13/01/1956;15465;0;A;5;0
Kevin Harper;98387164;Venezuela;21/02/1995;18402;0;A;6;0
Stephen Brown;11974491;Turqu�a;10/03/1996;0;0;A;7;0
Danielle Fuller;85868343;Polinesia Francesa;5/01/2008;0;0;A;8;0
Catherine Roberts;25680727;Noruega;23/10/2007;11690;0;A;9;0
Paul Clark;67591349;Albania;11/04/1946;0;0;A;10;0
Thomas Rivera;37943997;Turkmenist�n;25/11/1955;15885;0;A;11;0
Todd Fields;21872295;Brasil;6/06/1970;0;0;A;12;0
James James;10843327;Cuba;2/01/1996;15857;0;A;13;0
Heather Mcmillan;26050719;Dominica;6/09/1995;16992;0;A;14;0
Marissa Stone;29354655;Estonia;8/03/1997;2239;0;A;15;0
Patricia Wilcox;78063987;Territorio Brit�nico del Oc�ano �ndico;8/04/1974;11529;0;A;16;0
Katrina Griffin;10729164;Puerto Rico;5/12/2007;97;0;A;17;0
Marcus Williams;61577099;Mal�;1/12/1991;20220;0;A;18;0
Nicholas Hernandez;58093024;Moldavia;27/06/2010;3165;0;A;19;0
Tara Kirby;23220590;Santa Luc�a;23/06/1972;2695;0;A;20;0
Michelle Mitchell DDS;91254753;Mal�;23/08/1988;25653;1;B;1;0
Nina Hicks;13356417;Chile;18/12/1964;3335;1;B;2;0
David Fowler;32960013;Kazajist�n;23/10/1948;10113;1;B;3;1
Mary Mcconnell;43407884;Islandia;30/05/2001;25765;0;B;4;0
Christine Scott;37028486;Afganist�n;15/09/1952;13718;0;B;5;0
Robert Dickson;90270206;Guatemala;26/05/1951;0;0;B;6;0
Jared Johnson;40986734;Marruecos;6/01/1992;8108;0;B;7;0
Jade Harrison;70615413;Croacia;17/02/1948;20845;0;B;8;0
Adrienne Gallegos;77583159;N�ger;11/09/1989;29946;0;B;9;0
Linda Parker;27011140;San Crist�bal y Nieves;14/10/1999;0;0;B;10;0
William Adams;70690154;Surinam;27/04/1959;3037;0;B;11;0
Amanda Larson;85942302;Rep�blica Checa;8/11/1978;2270;0;B;12;0
Michael Meyer;81715150;Uganda;22/07/1959;26274;0;B;13;0
Patricia Hoover;89721559;Groenlandia;21/10/1975;1280;0;B;14;0
Megan Lane;87950049;Rep�blica Dominicana;21/08/2005;11769;0;B;15;0
Elizabeth Hayes;23744201;San Vicente y las Granadinas;29/04/2010;12935;0;B;16;0
Rachael Patterson;41705134;Malta;15/04/2002;15384;0;B;17;0
Molly Miller;51256245;Ant�rtida ;21/10/1957;17560;0;B;18;0
Dawn Smith;76246263;Madagascar;27/08/1984;21200;0;B;19;0
Victor Jones;20659901;Rep�blica del Congo;1/10/2001;8971;0;B;20;0
Brittany Whitney;57794959;Rep�blica Dominicana;11/05/1989;0;1;C;1;0
Lynn Arnold;77103531;Bermudas;19/02/1996;23385;1;C;2;0
Eric Ali;13979409;Aruba;6/06/1991;13313;1;C;3;0
Tracy Brown;23098753;Mal�;22/08/1953;15103;0;C;4;0
Ronald Gordon;61150340;Granada;3/01/1975;0;0;C;5;0
Tyler Weaver;49183029;Ant�rtida ;18/02/1997;9179;0;C;6;0
Brian Reyes;98507541;Armenia;28/05/1967;11836;0;C;7;0
Mark Wilson;29540003;Territorio Brit�nico del Oc�ano �ndico;20/04/1960;1045;0;C;8;0
Tina Holt;69827697;Banglad�s;2/01/1957;23023;0;C;9;0
Tara Myers;59579553;Egipto;4/07/1996;17536;0;C;10;0
Sara Ward;12554788;Noruega;23/01/1968;0;0;C;11;0
Lori Knox;77873995;Afganist�n;9/02/1971;13496;0;C;12;0
Jamie Cervantes;52300885;Gab�n;22/02/1971;21891;0;C;13;0
Paula Mueller;11292159;La Federaci�n de Rusia ;26/12/1972;5856;0;C;14;0
Edward Green;43401273;Luxemburgo;5/03/1951;1526;0;C;15;0
Corey Kelly;35120323;Ghana;22/12/1956;9391;0;C;16;0
Stephanie Williamson;43378598;M�naco;5/07/1987;4800;0;C;17;0
Ashley Waters;43223724;Aruba;28/04/1955;20442;0;C;18;0
Julia Gibson;81809860;Macao;10/12/1976;3269;0;C;19;0
Taylor Duffy;31148677;Antillas Holandesas ;7/01/1987;14549;0;C;20;0
Antonio Sharp;37234097;Territorios del sur franc�s ;25/04/1945;15854;1;D;1;0
Jessica Kirby;95553038;Gambia;10/12/1955;5396;1;D;2;0
Nicole Villa;32565626;Lesoto;27/11/1964;7823;1;D;3;0
Christina Shaw;15903058;Islas menores  de EE.UU.;18/10/1947;18151;0;D;4;0
Richard Brown;23136384;Somalia;2/09/1945;0;0;D;5;0
Brian Kirk;18611379;Suecia ;23/09/1950;3033;0;D;6;0
Julie Wiley;53489369;Yemen;13/05/1997;9576;0;D;7;0
Wanda Kim;47057176;Anguila;27/08/1987;7234;0;D;8;0
Timothy James;74170364;Burundi;19/04/2009;20786;0;D;9;0
Amanda Stone;47440899;Per�;11/05/1995;5304;0;D;10;0
Joshua Brooks;96804337;Tanzania;3/01/1982;6067;0;D;11;0
Paula Lucero;54366155;Alemania ;25/11/1957;26521;0;D;12;0
Thomas Allen;44204857;Hungr�a;13/12/1950;19301;0;D;13;0
Mr. Bryan Cox;97912543;Georgia;11/10/1960;25948;0;D;14;0
Sara Bell;99214598;Islas Cook;14/04/2004;5702;0;D;15;0
Jennifer Russell;46860653;Rep�blica Centroafricana;24/05/1978;7745;0;D;16;0
